Date,,Denton Branch Rail Trail (MedPark Station) Pedestrians,Denton Branch Rail Trail (MedPark Station) Cyclists
2/2/2017,0:00,33,28
3/2/2017,0:00,47,35
4/2/2017,0:00,50,33
5/2/2017,0:00,64,87
6/2/2017,0:00,71,61
7/2/2017,0:00,60,72
8/2/2017,0:00,38,41
9/2/2017,0:00,33,35
10/2/2017,0:00,43,40
11/2/2017,0:00,82,101
12/2/2017,0:00,59,77
13/02/2017,0:00,54,47
14/02/2017,0:00,13,15
15/02/2017,0:00,47,41
16/02/2017,0:00,46,63
17/02/2017,0:00,42,46
18/02/2017,0:00,72,142
19/02/2017,0:00,31,54
20/02/2017,0:00,58,51
21/02/2017,0:00,74,84
22/02/2017,0:00,60,91
23/02/2017,0:00,47,78
24/02/2017,0:00,41,34
25/02/2017,0:00,35,58
26/02/2017,0:00,40,69
27/02/2017,0:00,57,51
28/02/2017,0:00,59,63
1/3/2017,0:00,46,48
2/3/2017,0:00,53,57
3/3/2017,0:00,41,67
4/3/2017,0:00,45,35
5/3/2017,0:00,24,27
6/3/2017,0:00,56,55
7/3/2017,0:00,66,77
8/3/2017,0:00,84,74
9/3/2017,0:00,60,61
10/3/2017,0:00,49,73
11/3/2017,0:00,51,56
12/3/2017,0:00,37,23
13/03/2017,0:00,57,30
14/03/2017,0:00,63,62
15/03/2017,0:00,47,36
16/03/2017,0:00,45,61
17/03/2017,0:00,57,60
18/03/2017,0:00,61,137
19/03/2017,0:00,63,134
20/03/2017,0:00,98,69
21/03/2017,0:00,49,75
22/03/2017,0:00,51,63
23/03/2017,0:00,56,71
24/03/2017,0:00,48,46
25/03/2017,0:00,81,119
26/03/2017,0:00,77,76
27/03/2017,0:00,59,60
28/03/2017,0:00,51,56
29/03/2017,0:00,84,72
30/03/2017,0:00,40,71
31/03/2017,0:00,49,55
1/4/2017,0:00,66,111
2/4/2017,0:00,53,18
3/4/2017,0:00,63,104
4/4/2017,0:00,85,84
5/4/2017,0:00,42,55
6/4/2017,0:00,72,79
7/4/2017,0:00,45,77
8/4/2017,0:00,57,93
9/4/2017,0:00,48,58
10/4/2017,0:00,55,45
11/4/2017,0:00,64,79
12/4/2017,0:00,48,79
13/04/2017,0:00,52,55
14/04/2017,0:00,76,119
15/04/2017,0:00,43,119
16/04/2017,0:00,62,72
17/04/2017,0:00,46,45
18/04/2017,0:00,94,88
19/04/2017,0:00,50,79
20/04/2017,0:00,61,71
21/04/2017,0:00,88,60
22/04/2017,0:00,66,56
23/04/2017,0:00,42,94
24/04/2017,0:00,59,64
25/04/2017,0:00,57,64
26/04/2017,0:00,27,40
27/04/2017,0:00,36,106
28/04/2017,0:00,70,59
29/04/2017,0:00,52,41
30/04/2017,0:00,34,47
1/5/2017,0:00,112,78
2/5/2017,0:00,49,84
3/5/2017,0:00,56,44
4/5/2017,0:00,61,84
5/5/2017,0:00,75,95
6/5/2017,0:00,67,119
7/5/2017,0:00,64,139
8/5/2017,0:00,65,71
9/5/2017,0:00,61,87
10/5/2017,0:00,47,55
11/5/2017,0:00,70,75
12/5/2017,0:00,47,49
13/05/2017,0:00,62,146
14/05/2017,0:00,43,94
15/05/2017,0:00,54,77
16/05/2017,0:00,66,83
17/05/2017,0:00,59,83
18/05/2017,0:00,54,47
19/05/2017,0:00,45,57
20/05/2017,0:00,43,84
21/05/2017,0:00,48,141
22/05/2017,0:00,65,79
23/05/2017,0:00,40,26
24/05/2017,0:00,52,99
25/05/2017,0:00,49,54
26/05/2017,0:00,39,71
27/05/2017,0:00,46,114
28/05/2017,0:00,38,97
29/05/2017,0:00,63,176
30/05/2017,0:00,77,76
31/05/2017,0:00,74,64
1/6/2017,0:00,42,65
2/6/2017,0:00,30,41
3/6/2017,0:00,62,53
4/6/2017,0:00,48,122
5/6/2017,0:00,100,54
6/6/2017,0:00,54,100
7/6/2017,0:00,83,116
8/6/2017,0:00,56,96
9/6/2017,0:00,25,54
10/6/2017,0:00,38,106
11/6/2017,0:00,50,127
12/6/2017,0:00,52,96
13/06/2017,0:00,60,86
14/06/2017,0:00,46,82
15/06/2017,0:00,50,95
16/06/2017,0:00,29,47
17/06/2017,0:00,49,111
18/06/2017,0:00,39,95
19/06/2017,0:00,56,81
20/06/2017,0:00,60,119
21/06/2017,0:00,57,102
22/06/2017,0:00,37,84
23/06/2017,0:00,55,62
24/06/2017,0:00,40,51
25/06/2017,0:00,55,160
26/06/2017,0:00,62,71
27/06/2017,0:00,64,75
28/06/2017,0:00,55,104
29/06/2017,0:00,49,81
30/06/2017,0:00,40,54
1/7/2017,0:00,62,54
2/7/2017,0:00,39,140
3/7/2017,0:00,68,118
4/7/2017,0:00,68,137
5/7/2017,0:00,42,70
6/7/2017,0:00,64,81
7/7/2017,0:00,54,104
8/7/2017,0:00,42,106
9/7/2017,0:00,40,134
10/7/2017,0:00,41,79
11/7/2017,0:00,53,111
12/7/2017,0:00,51,94
13/07/2017,0:00,45,84
14/07/2017,0:00,51,55
15/07/2017,0:00,60,126
16/07/2017,0:00,42,105
17/07/2017,0:00,103,81
18/07/2017,0:00,66,95
19/07/2017,0:00,36,79
20/07/2017,0:00,53,61
21/07/2017,0:00,31,53
22/07/2017,0:00,27,56
23/07/2017,0:00,17,41
24/07/2017,0:00,54,60
25/07/2017,0:00,41,96
26/07/2017,0:00,47,74
27/07/2017,0:00,51,67
28/07/2017,0:00,30,52
29/07/2017,0:00,59,125
30/07/2017,0:00,39,98
31/07/2017,0:00,73,89
1/8/2017,0:00,57,75
2/8/2017,0:00,43,42
3/8/2017,0:00,62,96
4/8/2017,0:00,53,87
5/8/2017,0:00,53,131
6/8/2017,0:00,41,162
7/8/2017,0:00,57,111
8/8/2017,0:00,49,78
9/8/2017,0:00,74,67
10/8/2017,0:00,50,68
11/8/2017,0:00,24,48
12/8/2017,0:00,47,109
13/08/2017,0:00,46,60
14/08/2017,0:00,54,71
15/08/2017,0:00,65,96
16/08/2017,0:00,43,87
17/08/2017,0:00,27,80
18/08/2017,0:00,39,59
19/08/2017,0:00,47,112
20/08/2017,0:00,39,111
21/08/2017,0:00,38,65
22/08/2017,0:00,24,61
23/08/2017,0:00,26,51
24/08/2017,0:00,36,42
25/08/2017,0:00,29,57
26/08/2017,0:00,46,122
27/08/2017,0:00,54,111
28/08/2017,0:00,41,99
29/08/2017,0:00,43,62
30/08/2017,0:00,50,82
31/08/2017,0:00,35,84
1/9/2017,0:00,39,68
2/9/2017,0:00,44,148
3/9/2017,0:00,36,113
4/9/2017,0:00,47,139
5/9/2017,0:00,232,47
6/9/2017,0:00,63,73
7/9/2017,0:00,44,71
8/9/2017,0:00,53,76
9/9/2017,0:00,70,168
10/9/2017,0:00,34,138
11/9/2017,0:00,37,75
12/9/2017,0:00,67,69
13/09/2017,0:00,45,64
14/09/2017,0:00,34,61
15/09/2017,0:00,49,44
16/09/2017,0:00,65,130
17/09/2017,0:00,45,115
18/09/2017,0:00,52,70
19/09/2017,0:00,48,96
20/09/2017,0:00,45,69
21/09/2017,0:00,38,58
22/09/2017,0:00,42,38
23/09/2017,0:00,55,112
24/09/2017,0:00,54,154
25/09/2017,0:00,33,69
26/09/2017,0:00,41,67
27/09/2017,0:00,27,66
28/09/2017,0:00,37,38
29/09/2017,0:00,50,39
30/09/2017,0:00,71,157
1/10/2017,0:00,50,130
2/10/2017,0:00,47,58
3/10/2017,0:00,69,40
4/10/2017,0:00,34,64
5/10/2017,0:00,49,47
6/10/2017,0:00,45,91
7/10/2017,0:00,64,120
8/10/2017,0:00,53,155
9/10/2017,0:00,48,66
10/10/2017,0:00,52,48
11/10/2017,0:00,39,91
12/10/2017,0:00,57,90
13/10/2017,0:00,42,58
14/10/2017,0:00,45,104
15/10/2017,0:00,40,81
16/10/2017,0:00,62,63
17/10/2017,0:00,41,59
18/10/2017,0:00,43,85
19/10/2017,0:00,70,82
20/10/2017,0:00,50,53
21/10/2017,0:00,71,80
22/10/2017,0:00,42,75
23/10/2017,0:00,35,52
24/10/2017,0:00,60,39
25/10/2017,0:00,35,62
26/10/2017,0:00,34,65
27/10/2017,0:00,32,18
28/10/2017,0:00,46,52
29/10/2017,0:00,56,106
30/10/2017,0:00,,
31/10/2017,0:00,,
1/11/2017,0:00,,
2/11/2017,0:00,,
3/11/2017,0:00,,
4/11/2017,0:00,139,89
5/11/2017,0:00,45,141
6/11/2017,0:00,46,44
7/11/2017,0:00,33,34
8/11/2017,0:00,24,12
9/11/2017,0:00,36,35
10/11/2017,0:00,48,47
11/11/2017,0:00,39,59
12/11/2017,0:00,32,67
13/11/2017,0:00,48,35
14/11/2017,0:00,46,57
15/11/2017,0:00,42,48
16/11/2017,0:00,46,50
17/11/2017,0:00,51,53
18/11/2017,0:00,51,62
19/11/2017,0:00,48,58
20/11/2017,0:00,52,38
21/11/2017,0:00,47,47
22/11/2017,0:00,49,52
23/11/2017,0:00,37,34
24/11/2017,0:00,36,54
25/11/2017,0:00,54,55
26/11/2017,0:00,50,96
27/11/2017,0:00,37,37
28/11/2017,0:00,54,38
29/11/2017,0:00,31,40
30/11/2017,0:00,32,50
1/12/2017,0:00,34,47
2/12/2017,0:00,,
3/12/2017,0:00,,
4/12/2017,0:00,,
5/12/2017,0:00,,
6/12/2017,0:00,,
7/12/2017,0:00,,
8/12/2017,0:00,,
9/12/2017,0:00,,
10/12/2017,0:00,,
11/12/2017,0:00,,
12/12/2017,0:00,,
13/12/2017,0:00,,
14/12/2017,0:00,,
15/12/2017,0:00,,
16/12/2017,0:00,,
17/12/2017,0:00,,
18/12/2017,0:00,,
19/12/2017,0:00,,
20/12/2017,0:00,,
21/12/2017,0:00,,
22/12/2017,0:00,,
23/12/2017,0:00,,
24/12/2017,0:00,,
25/12/2017,0:00,,
26/12/2017,0:00,,
27/12/2017,0:00,,
28/12/2017,0:00,,
29/12/2017,0:00,,
30/12/2017,0:00,,
31/12/2017,0:00,,
1/1/2018,0:00,,
2/1/2018,0:00,,
3/1/2018,0:00,,
4/1/2018,0:00,,
5/1/2018,0:00,,
6/1/2018,0:00,,
7/1/2018,0:00,,
8/1/2018,0:00,,
9/1/2018,0:00,,
10/1/2018,0:00,,
11/1/2018,0:00,,
12/1/2018,0:00,,
13/01/2018,0:00,,
14/01/2018,0:00,,
15/01/2018,0:00,,
16/01/2018,0:00,,
17/01/2018,0:00,,
18/01/2018,0:00,,
19/01/2018,0:00,,
20/01/2018,0:00,,
21/01/2018,0:00,,
22/01/2018,0:00,,
23/01/2018,0:00,,
24/01/2018,0:00,,
25/01/2018,0:00,,
26/01/2018,0:00,,
27/01/2018,0:00,,
28/01/2018,0:00,,
29/01/2018,0:00,,
30/01/2018,0:00,,
31/01/2018,0:00,,
1/2/2018,0:00,,
2/2/2018,0:00,,
3/2/2018,0:00,,
4/2/2018,0:00,,
5/2/2018,0:00,,
6/2/2018,0:00,,
7/2/2018,0:00,35,15
8/2/2018,0:00,42,42
9/2/2018,0:00,893,110
10/2/2018,0:00,19,16
11/2/2018,0:00,18,8
12/2/2018,0:00,35,17
13/02/2018,0:00,29,25
14/02/2018,0:00,54,50
15/02/2018,0:00,199,47
16/02/2018,0:00,43,13
17/02/2018,0:00,84,43
18/02/2018,0:00,54,25
19/02/2018,0:00,91,40
20/02/2018,0:00,20,6
21/02/2018,0:00,12,5
22/02/2018,0:00,33,7
23/02/2018,0:00,19,5
24/02/2018,0:00,39,17
25/02/2018,0:00,110,83
26/02/2018,0:00,81,34
27/02/2018,0:00,23,12
28/02/2018,0:00,42,8
1/3/2018,0:00,60,44
2/3/2018,0:00,,
